"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Fab/Materials/Standard/M_MS_Billboard.M_MS_Billboard","49","42","46","2","27.581224","84","230"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","84.079796","0","54"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","97.694168","0","166"
"/Fab/Materials/Standard/M_MS_Srf.M_MS_Srf","49","18","19","1","5.772611","0","19"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","1.515025","0","7"
"/Fab/Materials/Standard/M_MS_Srf_Trm.M_MS_Srf_Trm","49","18","19","1","8.730779","0","19"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","49","26","26","1","9.477431","0","26"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","49","14","14","1","3.616014","0","14"
"/Game/RogueCharacter/Materials/Master/M_Head.M_Head","49","11","11","1","5.308854","0","11"
"/Game/RogueCharacter/Materials/Master/M_LeatherA.M_LeatherA","49","11","11","1","6.698365","0","11"
"/Game/RogueCharacter/Materials/Master/M_Metal.M_Metal","49","11","11","1","0.000000","0","11"
"/Game/RogueCharacter/Materials/Master/M_LeatherB.M_LeatherB","49","11","11","1","0.000000","0","11"
"/Game/RogueCharacter/Materials/Master/M_Cloth.M_Cloth","49","53","59","1","22.326086","0","59"
